"Title","Composer","Publisher","Notes","Condition","Call Number","Acquisition Date","Date Last Performed"
"String Quartet no. 2","Price, Florence","G. Schirmer, Inc.","Orchestra parts (2nd movement only) produced by Sam Bobinski 10/2020. Bass parts are minor edits of cello part.","Excellent","62 P950 cm no. 2 SCH","08-31-2020",
"Romeo and Juliet","Prokofiev, Sergey","Kalmus","PO version of the full ballet. All Mo. Oundjian's cuts and markings included.","Excellent","95 P964 bal K","04-30-2015",
"Symphony no. 1 ""Classical""","Prokofiev, Sergey","Kalmus","Scans may be missing parts--double check","Good","61 P964 sym no. 1 K","09-02-2021",
"La Boheme","Puccini, Giacomo","Kalmus","Coppola bowings - last used 2/2014","Fair","91 P977 opr K",,
"Manon Lescaut, Intermezzo Act III","Puccini, Giacomo","Luck's Music Library","","Excellent","91 P977 opr L",,
"La Valse","Ravel, Maurice","Kalmus","Missing a percussion part (#30); string scans only","Good","61 R252 spo K",,
"Rapsodie Espagnole","Ravel, Maurice","Luck's Music Library","Missing contrabassoon (#14)","Good","61 R252 ssu L","04-08-2018","07-05-2020"
"Valses Nobles et Sentimentales","Ravel, Maurice","Luck's Music Library","Extra string copies included","Excellent","61 R252 ssu L","NaN-NaN-NaN",
"Ah! Qual colpa iaspettato! from the Barber of Seville","Rossini, Gioacchino","Luck's Music Library","","Excellent","91 R835 opr L","NaN-NaN-NaN",
"L'Italiana in Algeri Overture","Rossini, Gioacchino","Kalmus",,"Good","61 R835 ovt K","09-26-2019","08-31-2025"
"Rosamunde Entr'actes","Schubert, Franz","Luck's Music Library","Includes one original per string part plus string copies","Excellent","61 S384 inc L",,
"Symphony no. 2","Schubert, Franz","Luck's Music Library","Missing 1 viola part and 2 violin 1 parts","Excellent","61 S384 sym no.2 L","12-14-2002","03-05-2018"
"Cello Concerto","Schumann, Robert","Luck's Music Library","Duplicate set. We have a folder with extra string copies.","Excellent","6623 S392 con Op. 129 L","04-11-1986","02-24-2024"
"Genoveva Overture","Schumann, Robert","Luck's Music Library","","Good","61 S392 ovt Op. 81 L",,
"Symphony no. 3","Schumann, Robert","Luck's Music Library","","Excellent","61 S392 sym no.3 L","NaN-NaN-NaN",
"Symphony no. 3","Sibelius, Jean","Luck's Music Library","","Excellent","61 S563 sym no.3 L",,
"Violin Concerto","Sibelius, Jean","Kalmus",,"Excellent","662 S563 con Op. 47 K","07-31-1992","09-04-2023"
"The Bartered Bride Overture","Smetana, Bedrich","Luck's Music Library","Missing trumpet 1 (#14)","Excellent","61 S638 ovt L",,
"Mother and Child","Still, William Grant","Other/Unknown","Reprinted copies","Good","62 S850 cm other","NaN-NaN-NaN",
"Also Sprach Zarathustra","Strauss, Richard","Kalmus","String scans only; bowing masters included","Fair","61 S912 spo Op. 30 K","10-09-2014","08-18-2021"
"Horn Concerto no. 2","Strauss, Richard","Boosey & Hawkes","Copies only","Excellent","6635 S912 con no.2 BH",,
"Pulcinella Suite","Stravinsky, Igor","Other/Unknown","Editions Russes de Musique (1924)","Good","61 S913 bal other","08-01-2016","09-25-2023"
"Romeo and Juliet Fantasy Overture","Tchaikovsky, Peter Ilich","Luck's Music Library","Missing oboe 1, violin 2 (1), viola (1); scans incomplete (strings only)","Good","61 C434 ovt L","NaN-NaN-NaN",
"Serenade for Strings","Tchaikovsky, Peter Ilich","Breitkopf & Härtel",,"Excellent","62 C434 ser BKH","07-16-2022","01-31-2023"
"Symphony no. 3","Tchaikovsky, Peter Ilich","Kalmus",,"Excellent","61 C434 sym no.3 K","08-08-2012","08-31-2014"
"Symphony no. 5 in E Minor","Tchaikovsky, Peter Ilich","Kalmus","Missing oboe 2","Excellent","61 C434 sym no.5 K",,"04-15-2021"
"Ah forgli e lui, Sempre libra from La Traviata","Verdi, Giuseppe","Kalmus","","Excellent","61 V484 opr K","NaN-NaN-NaN",
"La Forza del Destino Overture","Verdi, Giuseppe","Luck's Music Library","Scans of strings only; two sets included in folder","Good","61 V484 ovt L","09-24-2020","02-09-2025"
"Nabucco Overture","Verdi, Giuseppe","Kalmus","","Good","61 V484 ovt K","NaN-NaN-NaN",
